Date,target,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19,model_20,model_21,model_22,model_23,model_24,model_25,model_26,model_27,model_28,model_29,model_30,model_31,model_32,model_33,model_34,model_35,model_36,model_37,model_38,model_39,model_40,model_41,model_42,model_43,model_44,model_45,model_46,model_47,model_48,model_49,mean
2017-12-06 00:00:00+00:00,-0.0344635141476632,-0.0830864841583195,-0.0831304724473267,-0.07941898396037231,-0.0290467775208986,-0.053102475305255206,-0.0674259981270347,-0.0525882802843926,-0.0445187690541824,-0.09484417944152079,-0.0754663086207125,-0.004399484045447599,-0.0212567323140404,-0.0323705139198601,-0.0676081283619453,-0.0922092809299909,-0.007750455746751796,-0.07602926512790009,-0.017066052253220502,-0.0313274299177644,-0.1097004285208085,-0.0384230217109347,-0.082737292017286,-0.042926205807914106,-0.0602637687556236,-0.0472215218413085,-0.059044357229082106,-0.0767645246990498,-0.0286870094720825,-0.004483342570873995,-0.0787566326384493,-0.1001143508329977,-0.0702535091891535,-0.0475915850215944,-0.0040350363914179,-0.0387585494047448,-0.0306455178460488,-0.0937457825058012,-0.0054146776004706035,-0.0479997401883184,-0.0034615039764477017,-0.0666302780565262,-0.05998027827178801,-0.0428609721112375,-0.0713997316901554,-0.0786571442316097,-0.0376025933248987,-0.06402804318938671,-0.0632979311839718,-0.0977812868577405,-0.051726671372477606,-0.0536874559064198
2017-12-07 00:00:00+00:00,0.0209159543644503,-0.0606978324189828,-0.06107121736189569,-0.0565940876258465,-0.0047634690718135995,-0.0297401300895629,-0.04400814584035889,-0.029040372586216997,-0.020823480523448398,-0.0724523820301807,-0.05266220459381729,-0.029124994874681003,-0.0028369307176096988,-0.008172109133478298,-0.04455513733383179,-0.0696547090752605,-0.03320605740493,-0.0536783505846159,-0.006738764597950701,-0.008095629195794499,-0.0875677838585843,-0.014190372620143502,-0.0600316136462309,-0.018815033997707103,-0.0363630600543928,-0.023386285431463597,-0.0360327132513172,-0.05434582948308379,-0.004083873579923,-0.028763435726948602,-0.055883958318530796,-0.07803376962439809,-0.047693528895797296,-0.0245791398207383,-0.020708324419559502,-0.014828093165165302,-0.006443701314921699,-0.0719765391732857,-0.019319278149585,-0.0237736286899994,-0.0214291163290871,-0.0437752164484015,-0.036585326844138205,-0.019545422249225498,-0.048236061482890696,-0.05617165471275859,-0.013536852037298503,-0.0407910448875196,-0.040774469387717394,-0.07559406930555719,-0.0275733923873478,-0.0302898957982658
2017-12-08 00:00:00+00:00,-0.0205729871103013,-0.0781434360066344,-0.078895794794805,-0.0741946917308609,-0.0237733603653326,-0.0479033410749824,-0.0623367804417857,-0.0476036888367862,-0.0389978018856252,-0.0898613007014957,-0.0697025666695371,-0.0095208896823069,-0.015896095491458602,-0.0265850212429319,-0.0628977263933899,-0.0873216625306238,-0.013697601329407703,-0.0709322232401578,-0.011605637525803,-0.0269189492916442,-0.1048454317608015,-0.032418840150247596,-0.0768498802103147,-0.0374638406814752,-0.0541703074825043,-0.042020624543246204,-0.0540726071805068,-0.0715803303941271,-0.023229789686095202,-0.0085386645859383,-0.0736885301079763,-0.0942806015338282,-0.0654609113814584,-0.042250395904600696,-0.001444141490166001,-0.033382930399501104,-0.0250298868926736,-0.08874273193781079,-0.0001833423548659001,-0.042237198293349404,-0.0010846727405428996,-0.0619597465261085,-0.0539164196228919,-0.0380569736130378,-0.0657932253338306,-0.0737428397024783,-0.0309563739192793,-0.059240279033581505,-0.058834666118000395,-0.0919559230167194,-0.045241411369637496,-0.048417802950928804
2017-12-09 00:00:00+00:00,-0.0579247018815319,-0.134205513434598,-0.13553292947623619,-0.13110397623776948,-0.0795994970689822,-0.1036832814213131,-0.1183155882441327,-0.10370218495801939,-0.0951129995259573,-0.1470965621737321,-0.1265093504647845,-0.0454914095543321,-0.0714198882655567,-0.0820775083781442,-0.1183197567163295,-0.1444171070221306,-0.0412475170931595,-0.1278327919166537,-0.0670509416384808,-0.0832023172827764,-0.1616062383609953,-0.0879190889852483,-0.1332995008496896,-0.0933563277892651,-0.1109150959766486,-0.0979178966083176,-0.11009487636602269,-0.12831458974962978,-0.0787263475555787,-0.0463479821201624,-0.1305117623621858,-0.1509397965979449,-0.1218751726765371,-0.0985601321502626,-0.0539571888211269,-0.0894119836789771,-0.0801456638679737,-0.1460058765763852,-0.0554000618484944,-0.0980302514752028,-0.054142249598421,-0.11841824898962999,-0.1099117544130062,-0.09370686721864979,-0.1222124311596203,-0.1302457556713032,-0.087278695326367,-0.1152849150746494,-0.114897537983991,-0.14946706567670281,-0.1011329519665978,-0.1045191085673735
2017-12-10 00:00:00+00:00,-0.0146550640121029,-0.145880543807032,-0.1471644491678642,-0.1427500662172877,-0.0883987929210992,-0.1140750479059181,-0.1285085644112588,-0.1138007117921104,-0.1042892955612499,-0.1598028443283529,-0.13655651169591781,-0.0523099080202255,-0.079103058796218,-0.09107372438337649,-0.1282617030695391,-0.1559311653028409,-0.0479737304134202,-0.1390060882860125,-0.0751120137196869,-0.0916489452671669,-0.17503240891186939,-0.09779403305575239,-0.1447258830669583,-0.1034523954811306,-0.1212946359572118,-0.1068535047210302,-0.11987016678112769,-0.1378288920587206,-0.0859559049459323,-0.052543700837394,-0.1425901568696294,-0.1643574823888769,-0.133117431703582,-0.1079368545357967,-0.0620914413924008,-0.0986721967448878,-0.0885120877677992,-0.1579294147379616,-0.0634728976294108,-0.1077244652863972,-0.061203090428221495,-0.12840051755473292,-0.1202457582347654,-0.1026987429314203,-0.1328782879944713,-0.1411914131355753,-0.0973765605824898,-0.1253313694187881,-0.1247967947334051,-0.1614144918206471,-0.1116566505515637,-0.1144119359465306
2017-12-11 00:00:00+00:00,0.0261144276466365,-0.1110016429278284,-0.1128659670821258,-0.1079990074760943,-0.0534190694085835,-0.0803000296169801,-0.0932485817058962,-0.0792865148333448,-0.06917131355275509,-0.12463422611749779,-0.10119420342646308,-0.016916559066659797,-0.04359011686801889,-0.05654765012863949,-0.0934154644080341,-0.12156015902104379,-0.012823337846197897,-0.10494227612967459,-0.03990010848419949,-0.05606204026321919,-0.1401455451090835,-0.0643540636877859,-0.1102334394504023,-0.0688368171228753,-0.0859256893675875,-0.0713091457151246,-0.0845613867263294,-0.10213440678525419,-0.0502790011433239,-0.016704979370457302,-0.1073695944311721,-0.1302388949900517,-0.0981034271733494,-0.07362399050585709,-0.0280659527122511,-0.06428858468012609,-0.0531858722409526,-0.1232299259324857,-0.0287278441804304,-0.07356321094850769,-0.0248316865763229,-0.09309308211673259,-0.0864175651667552,-0.06732140104607659,-0.09758888958046219,-0.10620590610205859,-0.06377007866253219,-0.0900054388304926,-0.0905765786915643,-0.1264503025819405,-0.077688283998852,-0.07955418507980909
2017-12-12 00:00:00+00:00,-0.0170666589046687,-0.1189356550391734,-0.120634067021934,-0.1158620667194603,-0.0632039674936484,-0.0894928161997237,-0.1013133076502121,-0.0876562962914713,-0.0784326816477974,-0.1315878472760424,-0.1091444443008293,-0.027250617236581398,-0.0534039023783568,-0.0660730909479871,-0.1025980065031835,-0.128946189712252,-0.023307569810401198,-0.1130899343137536,-0.0492559829890116,-0.0649159154779495,-0.1462398056352307,-0.074076531738514,-0.1177368538200376,-0.0777263669809494,-0.0940355186715909,-0.0804802817605228,-0.0924596431238281,-0.1094040709168421,-0.0598695312645504,-0.026589185101157,-0.1144438397911424,-0.13736598976820752,-0.1058470539706841,-0.0824616267078133,-0.0384039771825758,-0.07359218714204,-0.06258599304738019,-0.1303238086359485,-0.0389091855408227,-0.0831168506019296,-0.034898661655835495,-0.1018163787450578,-0.0945374702475123,-0.0771512395771515,-0.1059784447826295,-0.113877566764292,-0.0735254231043668,-0.0987746458274663,-0.0995765267006789,-0.13342660622214358,-0.0861386357277772,-0.0882094851953289
2017-12-13 00:00:00+00:00,-0.052826591293936,-0.1650625318519711,-0.1669826064681581,-0.1617968311728006,-0.1092801397562507,-0.1356519670100035,-0.147182044071842,-0.134456786828023,-0.1240613181378506,-0.17797126473318678,-0.1550326683963628,-0.072811043493873,-0.0985360466467134,-0.11179516415374749,-0.1491229305408037,-0.1749757039738627,-0.0685518615839911,-0.1596272214064297,-0.0947360715381035,-0.11141868705579369,-0.1924090993147826,-0.1202808088417861,-0.1637001320569005,-0.12449236163586541,-0.1405983542276741,-0.125921752817728,-0.1381667843243881,-0.1553160616353891,-0.1064997383504877,-0.0712796638792589,-0.1604704638392504,-0.1839896176810874,-0.1519075771503665,-0.1277703837602109,-0.0842351975438285,-0.11957703688502261,-0.10767886959127379,-0.1766173553457158,-0.08447551749552021,-0.1293983676466598,-0.0802099160091604,-0.1484985749575634,-0.1409929510979442,-0.1239103545490671,-0.1527391193873487,-0.1599210723426214,-0.1199681133423855,-0.1444827157044998,-0.1457661132922714,-0.1798357375337519,-0.132307160581978,-0.1342493972328311
2017-12-14 00:00:00+00:00,-0.1049907731520314,-0.2639724081116679,-0.2667042241265376,-0.2603223346128085,-0.2051335293958816,-0.2340188489839207,-0.246276383915146,-0.2333666675375537,-0.2210836618927844,-0.27795867207287106,-0.2523844359291852,-0.1677971800968564,-0.1941805759901247,-0.20844166129832198,-0.2467169288747268,-0.27468388166240887,-0.1632446999872427,-0.2585984155029848,-0.1903143840334263,-0.2086416009338241,-0.29310150319843287,-0.2181399907583943,-0.2625887908527562,-0.2230074113217431,-0.2389574345022787,-0.22284234360735922,-0.2358681539668559,-0.2536216785724944,-0.20157189283803978,-0.1658258780481912,-0.2598128110255613,-0.28403239874762787,-0.250773549942986,-0.225258672586658,-0.1805967055763699,-0.2175282563678696,-0.20299322424361538,-0.2756323104637298,-0.18021387965863989,-0.22749277118193179,-0.17528535124605898,-0.2460045141100647,-0.23907954088437589,-0.22071154897903428,-0.25119900924390126,-0.2585607013563209,-0.21810413498997178,-0.2412139429528165,-0.2441291918317498,-0.27859456538053406,-0.2303762089980269,-0.2319391772478533
2017-12-15 00:00:00+00:00,-0.0345397074174542,-0.2990217018843931,-0.3024770405933898,-0.2939149091391875,-0.23410151819326203,-0.2679359896366708,-0.2790004019014499,-0.2667307127762827,-0.2518670157507381,-0.3151335468868636,-0.2842526633070448,-0.1939260299801014,-0.22230389990974447,-0.23924458649861502,-0.2796694844552811,-0.3106525991591519,-0.1896764152857881,-0.2947718429102134,-0.21891561602405069,-0.23896806168994872,-0.3313131795522361,-0.251923077980057,-0.29740982118652703,-0.2554912739872903,-0.27172574748265,-0.253392909935662,-0.2681012449662315,-0.2851375671227635,-0.22835837639631118,-0.18988258749295622,-0.2958537584381135,-0.321687331420174,-0.28529158557847384,-0.2561679292169772,-0.2094199690607334,-0.2497873391088828,-0.23085735942869268,-0.31084435885420764,-0.20859955512972128,-0.2611630860632777,-0.20110114035337878,-0.2776008004074098,-0.2740813382335059,-0.2517011497215116,-0.2850033353362245,-0.2934824116358804,-0.25269036104014597,-0.2732546951659028,-0.2786486388939592,-0.3145697489554134,-0.2637302231783606,-0.2642167187461162
